No,Intent,Category,Question
704,assignment,Assignment,Can I resubmit my assignment before the deadline?
705,assignment,Assignment,Assignment info
706,assignment,Assignment,Coursework deadline
707,assignment,Assignment,Submission date
708,assignment,Assignment,When's it due
709,assignment,Assignment,Where can I see my assignment deadline?
710,assignment,Assignment,When is my coursework submission due?
711,assignment,Assignment,What date is my assignment due?
712,assignment,Assignment,What is the due date for this assignment?
713,assignment,Assignment,Where do I check coursework deadlines?
714,assignment,Assignment,When should I submit my coursework?
715,assignment,Assignment,Can you tell me the assignment submission date?
716,assignment,Assignment,What is the deadline to submit my work?
717,assignment,Assignment,When is the next assignment due?
718,assignment,Assignment,How do I check my assignment due date?
719,assignment,Assignment,Is there a deadline for my assignment?
720,assignment,Assignment,When do I need to hand in my assignment?
721,assignment,Assignment,Where can I find coursework due dates?
722,assignment,Assignment,When should coursework be submitted?
723,assignment,Assignment,I need help with an assignment deadline
724,assignment,Assignment,Can you help me find my coursework deadline?
725,assignment,Assignment,Where are assignment submission dates listed?
726,exam,Exam,When is my exam?
727,exam,Exam,Exam timetable
728,exam,Exam,Final exam date
729,exam,Exam,When are the final exams?
730,exam,Exam,Where can I check my exam schedule?
731,exam,Exam,When is my final exam?
732,exam,Exam,What date is my exam?
733,exam,Exam,Exam schedule
734,exam,Exam,Where is the exam timetable?
735,exam,Exam,When do examinations start?
736,exam,Exam,What time is my exam?
737,exam,Exam,How can I check my exam date?
738,exam,Exam,Tell me my exam schedule
739,exam,Exam,When is the examination?
740,exam,Exam,Where can I find examination information?
741,exam,Exam,What are my exam dates?
742,exam,Exam,When is the final assessment?
743,exam,Exam,How do I check my exam timetable?
744,exam,Exam,Is the exam timetable available?
745,exam,Exam,I want to see my exam schedule
746,exam,Exam,Where is Exam Hall 1 located on campus?
747,exam,Exam,When is the final examination period starting?
748,exam,Exam,What venue is set for the Discrete Math examination?
749,exam,Exam,Can I view my personal exam slip online?
750,exam,Exam,What time does the afternoon exam paper begin?
751,exam,Exam,When will the final exam dates be published?
752,exam,Exam,What items am I allowed to bring into the exam hall?
753,exam,Exam,Where can I check the seating plan for my exam?
754,exam,Exam,What is the date for the Academic English exam?
755,exam,Exam,How long is the duration of the final examination?
756,exam,Exam,When are mid-term exam dates announced?
757,exam,Exam,Where can I find my official exam timetable?
758,exam,Exam,What happens if I miss a final exam due to illness?
759,exam,Exam,When is the final exam date for Data Structures?
760,exam,Exam,Is the exam scheduled for morning or afternoon?
761,exam,Exam,When will my exam results be released?
762,exam,Exam,How do I check my exam results?
763,exam,Exam,Where can I view my grades?
764,exam,Exam,How do I access my semester results?
765,exam,Exam,When are results usually announced?
766,exam,Exam,I want to know my exam grade
767,exam,Exam,How do I get my transcript of results?
768,exam,Exam,Where can I appeal my exam result?
769,exam,Exam,How do I request a result recheck?
770,exam,Exam,Who do I contact to remark an exam paper?
771,exam,Exam,What is the procedure for a resit exam?
772,exam,Exam,How do I register for a supplementary exam?
773,exam,Exam,When is the resit exam period?
774,exam,Exam,What happens if I fail an exam?
775,exam,Exam,Do I need to pay for a resit exam?
776,exam,Exam,How many times can I resit a failed subject?
777,exam,Exam,What is the passing grade for an exam?
778,exam,Exam,Where do I check the resit exam timetable?
779,exam,Exam,Exam info
780,exam,Exam,Exam date
781,exam,Exam,Exam results
782,exam,Exam,My exam schedule
783,exam,Exam,Exam venue
784,exam,Exam,When is the next examination?
785,exam,Exam,Where can I find my examination timetable?
786,exam,Exam,What day is my final exam?
787,exam,Exam,Which room is my exam in?
788,exam,Exam,What time does my exam start?
789,exam,Exam,Can you show me the exam schedule?
790,exam,Exam,Where will my examination be held?
791,exam,Exam,What is the date of my final?
792,exam,Exam,When do finals begin?
793,exam,Exam,When does my exam finish?
794,exam,Exam,Where is the examination venue?
795,exam,Exam,Can I see the examination schedule?
796,exam,Exam,Which hall is my exam in?
797,exam,Exam,When is the Data Structures exam?
798,exam,Exam,Where is the Data Structures exam?
799,exam,Exam,When is the Discrete Mathematics exam?
800,exam,Exam,Where is the Database Systems exam?
801,exam,Exam,When is the CSC2103 Data Structures exam?
802,exam,Exam,What time is the CSC2103 Data Structures examination?
803,exam,Exam,Where is the CSC2103 Data Structures exam?
804,exam,Exam,Which hall is the CSC2103 Data Structures exam in?
805,exam,Exam,What date is the CSC2103 Data Structures final?
806,exam,Exam,When do I sit for CSC2103 Data Structures?
807,exam,Exam,When is the MAT2102 Discrete Mathematics exam?
808,exam,Exam,What time is the MAT2102 Discrete Mathematics examination?
809,exam,Exam,Where is the MAT2102 Discrete Mathematics exam?
810,exam,Exam,Which hall is the MAT2102 Discrete Mathematics exam in?
811,exam,Exam,What date is the MAT2102 Discrete Mathematics final?
812,exam,Exam,When do I sit for MAT2102 Discrete Mathematics?
813,exam,Exam,When is the CSC2201 Database Systems exam?
814,exam,Exam,What time is the CSC2201 Database Systems examination?
815,exam,Exam,Where is the CSC2201 Database Systems exam?
816,exam,Exam,Which hall is the CSC2201 Database Systems exam in?
817,exam,Exam,What date is the CSC2201 Database Systems final?
818,exam,Exam,When do I sit for CSC2201 Database Systems?
819,exam,Exam,When is the ENG2101 Academic English exam?
820,exam,Exam,What time is the ENG2101 Academic English examination?
821,exam,Exam,Where is the ENG2101 Academic English exam?
822,exam,Exam,Which hall is the ENG2101 Academic English exam in?
823,exam,Exam,What date is the ENG2101 Academic English final?
824,exam,Exam,When do I sit for ENG2101 Academic English?
825,exam,Exam,I need help finding my exam schedule
826,exam,Exam,Can you help me check an examination date?
827,exam,Exam,Where are final exam details listed?
828,campus_location,Campus Location,Where is the computer lab?
829,campus_location,Campus Location,Where is Block A?
830,campus_location,Campus Location,Where is Block B?
831,campus_location,Campus Location,Where is Block C?
832,campus_location,Campus Location,Where is Block D?
833,campus_location,Campus Location,Where is Block E?
834,campus_location,Campus Location,Where is Block G?
835,campus_location,Campus Location,Where is Block H?
836,campus_location,Campus Location,Where is Block K?
837,campus_location,Campus Location,Where is Block L?
838,campus_location,Campus Location,Where is Block M?
839,campus_location,Campus Location,Where is Block N?
840,campus_location,Campus Location,Where is Block P?
841,campus_location,Campus Location,Where is Block PA?
842,campus_location,Campus Location,Where is Block PB?
843,campus_location,Campus Location,Where is Block Q?
844,campus_location,Campus Location,Where is Block R?
845,campus_location,Campus Location,Where is Block S?
846,campus_location,Campus Location,Where is Block T?
847,campus_location,Campus Location,Where is Block UA?
848,campus_location,Campus Location,Where is Block V?
849,campus_location,Campus Location,Where is Block W?
850,campus_location,Campus Location,Where is Block X?
851,campus_location,Campus Location,Where is Block Y?
852,campus_location,Campus Location,Where is Block Z?
853,campus_location,Campus Location,Where is Block SA?
854,campus_location,Campus Location,Where is Block SB?
855,campus_location,Campus Location,Where is Block SC?
856,campus_location,Campus Location,Where is Block SD?
857,campus_location,Campus Location,Where is Block SE?
858,campus_location,Campus Location,Where is Block SF?
859,campus_location,Campus Location,Where is Block SG?
860,campus_location,Campus Location,How do I get to Block A?
861,campus_location,Campus Location,How do I find Block SA?
862,campus_location,Campus Location,Where is DK A?
863,campus_location,Campus Location,Where is DK B?
864,campus_location,Campus Location,Where is DK C?
865,campus_location,Campus Location,Where is DK D?
866,campus_location,Campus Location,Where is DK E?
867,campus_location,Campus Location,Where is DK W?
868,campus_location,Campus Location,Where is DK X?
869,campus_location,Campus Location,Where is DK Y?
870,campus_location,Campus Location,Where is DK Z?
871,campus_location,Campus Location,Where is DK 1?
872,campus_location,Campus Location,Where is DK 2?
873,campus_location,Campus Location,Where is DK 3?
874,campus_location,Campus Location,Where is DK 4?
875,campus_location,Campus Location,Where is DK 5?
876,campus_location,Campus Location,Where is DK 6?
877,campus_location,Campus Location,Where is DK 7?
878,campus_location,Campus Location,Where is DK 8?
879,campus_location,Campus Location,Where is DK ABA?
880,campus_location,Campus Location,Where is DK ABB?
881,campus_location,Campus Location,Where is DK ABC?
882,campus_location,Campus Location,Where is DK ABD?
883,campus_location,Campus Location,Where is DK ABE?
884,campus_location,Campus Location,Where is DK ABF?
885,campus_location,Campus Location,Where is Gate 1?
886,campus_location,Campus Location,Where is Gate 2?
887,campus_location,Campus Location,Where is Gate 3?
888,campus_location,Campus Location,Where is Gate 4?
889,campus_location,Campus Location,Where is Gate 5?
890,campus_location,Campus Location,Where is Gate 6?
891,campus_location,Campus Location,Where is Gate 7?
892,campus_location,Campus Location,Where is the Main Entrance?
893,campus_location,Campus Location,How do I get to the Main Entrance?
894,campus_location,Campus Location,Where is Dewan Tunku Abdul Rahman?
895,campus_location,Campus Location,Where is DTAR?
896,campus_location,Campus Location,Where is TAR UMT Arena?
897,campus_location,Campus Location,Where is the Main Hall?
898,campus_location,Campus Location,Where is the main auditorium located on campus?
899,campus_location,Campus Location,Where is the cafeteria?
900,campus_location,Campus Location,How do I walk to the cafeteria?
901,campus_location,Campus Location,Where is the Sports Complex?
902,campus_location,Campus Location,Where is the Swimming Pool?
903,campus_location,Campus Location,Where is Club House?
904,campus_location,Campus Location,Where is Fern House?
905,campus_location,Campus Location,Where is The Rimba?
906,campus_location,Campus Location,Where is the football field?
907,campus_location,Campus Location,Where are the Pickleball Courts?
908,campus_location,Campus Location,Where are the Volleyball Courts?
909,campus_location,Campus Location,Where is the 3x3 Basketball Court?
910,campus_location,Campus Location,Where is the Futsal Court?
911,campus_location,Campus Location,Where is the Netball Court?
912,campus_location,Campus Location,Where is Bangunan Tun Tan Siew Sin?
913,campus_location,Campus Location,Where is CITC?
914,campus_location,Campus Location,Where is the Communication & Information Technology Centre?
915,campus_location,Campus Location,Where is Klinik LOW?
916,campus_location,Campus Location,Where is the health centre?
917,campus_location,Campus Location,Where is the campus clinic located?
918,campus_location,Campus Location,How do I get to the health centre?
919,campus_location,Campus Location,Where is Taska & Tadika CECE?
920,campus_location,Campus Location,Where is VTAR Institute?
921,campus_location,Campus Location,Where is the East Campus?
922,campus_location,Campus Location,How do I go to East Campus?
923,campus_location,Campus Location,Where is the West Campus?
924,campus_location,Campus Location,How do I go to West Campus?
925,campus_location,Campus Location,Where is the LRT Station?
926,campus_location,Campus Location,How to get to LRT Taman Melati Station?
927,campus_location,Campus Location,Where is DACE?
928,campus_location,Campus Location,Where is the Department of Admissions & Credit Evaluation?
929,campus_location,Campus Location,Where is DFIN?
930,campus_location,Campus Location,Where is the Department of Finance?
931,campus_location,Campus Location,Where is DSA?
932,campus_location,Campus Location,Where is the Department of Student Affairs?
933,campus_location,Campus Location,Where is DECA?
934,campus_location,Campus Location,Where is the Department of Examinations and Credit Accumulation?
935,campus_location,Campus Location,Where is DOS?
936,campus_location,Campus Location,Where is the Department of Security?
937,campus_location,Campus Location,Where is DISO?
938,campus_location,Campus Location,Where is the Department of International Student Office?
939,campus_location,Campus Location,Where is DFM?
940,campus_location,Campus Location,Where is the Department of Facilities Management?
941,campus_location,Campus Location,Where is DAR?
942,campus_location,Campus Location,Where is the Department of Alumni Relations?
943,campus_location,Campus Location,Where is the administration office?
944,campus_location,Campus Location,Where is the administration building counter?
945,campus_location,Campus Location,Where is the lecture hall?
946,campus_location,Campus Location,Where are the classrooms?
947,campus_location,Campus Location,Where is the student centre?
948,campus_location,Campus Location,Where is the campus security guard house?
949,campus_location,Campus Location,Where is the nearest bus stop on campus?
950,campus_location,Campus Location,Where is Bus Stop 1-5?
951,campus_location,Campus Location,How do I navigate to the engineering laboratory?
952,campus_location,Campus Location,How do I reach the main hall from Block B?
953,campus_location,Campus Location,Show me walking directions to the campus health clinic
954,campus_location,Campus Location,Find the location of room C-201 on campus
955,campus_location,Campus Location,Show the route from the main entrance to the student centre
956,campus_location,Campus Location,Is the sports complex close to Block C?
957,campus_location,Campus Location,Where on campus is the administration building?
958,campus_location,Campus Location,Campus map
959,campus_location,Campus Location,Map
960,campus_location,Campus Location,Show me the campus map
961,campus_location,Campus Location,Where can I view the campus map?
962,campus_location,Campus Location,I need a map of the campus
963,campus_location,Campus Location,Do you have a campus map?
964,campus_location,Campus Location,Campus directory map
965,campus_location,Campus Location,View campus map
966,campus_location,Campus Location,Open the campus map
967,campus_location,Campus Location,Where is the health centre located?
968,campus_location,Campus Location,What block is the health centre in?
969,campus_location,Campus Location,Which floor is the health centre on?
970,campus_location,Campus Location,Health centre location
971,campus_location,Campus Location,Find the health centre on campus
972,campus_location,Campus Location,Which gate is closest to the health centre?
973,campus_location,Campus Location,Where is Faculty of Applied Sciences (FOAS)?
974,campus_location,Campus Location,How do I get to Faculty of Applied Sciences (FOAS)?
975,campus_location,Campus Location,Which gate is closest to Faculty of Applied Sciences (FOAS)?
976,campus_location,Campus Location,Which building is Faculty of Applied Sciences (FOAS) in?
977,campus_location,Campus Location,Which campus area has Faculty of Applied Sciences (FOAS)?
978,campus_location,Campus Location,Where is Faculty of Computing & Information Technology (FOCS)?
979,campus_location,Campus Location,How do I get to Faculty of Computing & Information Technology (FOCS)?
980,campus_location,Campus Location,Which gate is closest to Faculty of Computing & Information Technology (FOCS)?
981,campus_location,Campus Location,Which building is Faculty of Computing & Information Technology (FOCS) in?
982,campus_location,Campus Location,Which campus area has Faculty of Computing & Information Technology (FOCS)?
983,campus_location,Campus Location,"Where is Faculty of Accounting, Finance and Business (FAFB)?"
984,campus_location,Campus Location,"How do I get to Faculty of Accounting, Finance and Business (FAFB)?"
985,campus_location,Campus Location,"Which gate is closest to Faculty of Accounting, Finance and Business (FAFB)?"
986,campus_location,Campus Location,"Which building is Faculty of Accounting, Finance and Business (FAFB) in?"
987,campus_location,Campus Location,"Which campus area has Faculty of Accounting, Finance and Business (FAFB)?"
988,campus_location,Campus Location,Where is Faculty of Engineering and Technology (FOET)?
989,campus_location,Campus Location,How do I get to Faculty of Engineering and Technology (FOET)?
990,campus_location,Campus Location,Which gate is closest to Faculty of Engineering and Technology (FOET)?
991,campus_location,Campus Location,Which building is Faculty of Engineering and Technology (FOET) in?
992,campus_location,Campus Location,Which campus area has Faculty of Engineering and Technology (FOET)?
993,campus_location,Campus Location,Where is Faculty of Built Environment (FOBE)?
994,campus_location,Campus Location,How do I get to Faculty of Built Environment (FOBE)?
995,campus_location,Campus Location,Which gate is closest to Faculty of Built Environment (FOBE)?
996,campus_location,Campus Location,Which building is Faculty of Built Environment (FOBE) in?
997,campus_location,Campus Location,Which campus area has Faculty of Built Environment (FOBE)?
998,campus_location,Campus Location,Where is Faculty of Social Science and Humanities (FSSH)?
999,campus_location,Campus Location,How do I get to Faculty of Social Science and Humanities (FSSH)?
1000,campus_location,Campus Location,Which gate is closest to Faculty of Social Science and Humanities (FSSH)?
1001,campus_location,Campus Location,Which building is Faculty of Social Science and Humanities (FSSH) in?
1002,campus_location,Campus Location,Which campus area has Faculty of Social Science and Humanities (FSSH)?
1003,campus_location,Campus Location,Where is Faculty of Communication and Creative Industries (FCCI)?
1004,campus_location,Campus Location,How do I get to Faculty of Communication and Creative Industries (FCCI)?
1005,campus_location,Campus Location,Which gate is closest to Faculty of Communication and Creative Industries (FCCI)?
1006,campus_location,Campus Location,Which building is Faculty of Communication and Creative Industries (FCCI) in?
1007,campus_location,Campus Location,Which campus area has Faculty of Communication and Creative Industries (FCCI)?
1008,campus_location,Campus Location,Where is Centre for Pre-University Studies (CPUS)?
1009,campus_location,Campus Location,How do I get to Centre for Pre-University Studies (CPUS)?
1010,campus_location,Campus Location,Which gate is closest to Centre for Pre-University Studies (CPUS)?
1011,campus_location,Campus Location,Which building is Centre for Pre-University Studies (CPUS) in?
1012,campus_location,Campus Location,Which campus area has Centre for Pre-University Studies (CPUS)?
1013,campus_location,Campus Location,Where is Centre for Postgraduate Studies and Research (CPSR)?
1014,campus_location,Campus Location,How do I get to Centre for Postgraduate Studies and Research (CPSR)?
1015,campus_location,Campus Location,Which gate is closest to Centre for Postgraduate Studies and Research (CPSR)?
1016,campus_location,Campus Location,Which building is Centre for Postgraduate Studies and Research (CPSR) in?
1017,campus_location,Campus Location,Which campus area has Centre for Postgraduate Studies and Research (CPSR)?
1018,campus_location,Campus Location,Where is Centre for Continuing & Professional Education (CPE)?
1019,campus_location,Campus Location,How do I get to Centre for Continuing & Professional Education (CPE)?
1020,campus_location,Campus Location,Which gate is closest to Centre for Continuing & Professional Education (CPE)?
1021,campus_location,Campus Location,Which building is Centre for Continuing & Professional Education (CPE) in?
1022,campus_location,Campus Location,Which campus area has Centre for Continuing & Professional Education (CPE)?
1023,campus_location,Campus Location,Where is Centre for Business Incubation & Entrepreneurial Ventures (CBEIV)?
1024,campus_location,Campus Location,How do I get to Centre for Business Incubation & Entrepreneurial Ventures (CBEIV)?
1025,campus_location,Campus Location,Which gate is closest to Centre for Business Incubation & Entrepreneurial Ventures (CBEIV)?
1026,campus_location,Campus Location,Which building is Centre for Business Incubation & Entrepreneurial Ventures (CBEIV) in?
1027,campus_location,Campus Location,Which campus area has Centre for Business Incubation & Entrepreneurial Ventures (CBEIV)?
1028,campus_location,Campus Location,Where is Department of Student Affairs (DSA)?
1029,campus_location,Campus Location,How do I get to Department of Student Affairs (DSA)?
1030,campus_location,Campus Location,Which gate is closest to Department of Student Affairs (DSA)?
1031,campus_location,Campus Location,Which building is Department of Student Affairs (DSA) in?
1032,campus_location,Campus Location,Which campus area has Department of Student Affairs (DSA)?
1033,campus_location,Campus Location,Where is Department of Alumni Relations (DAR)?
1034,campus_location,Campus Location,How do I get to Department of Alumni Relations (DAR)?
1035,campus_location,Campus Location,Which gate is closest to Department of Alumni Relations (DAR)?
1036,campus_location,Campus Location,Which building is Department of Alumni Relations (DAR) in?
1037,campus_location,Campus Location,Which campus area has Department of Alumni Relations (DAR)?
1038,campus_location,Campus Location,Where is Department of Examinations and Credit Accumulation (DECA)?
1039,campus_location,Campus Location,How do I get to Department of Examinations and Credit Accumulation (DECA)?
1040,campus_location,Campus Location,Which gate is closest to Department of Examinations and Credit Accumulation (DECA)?
1041,campus_location,Campus Location,Which building is Department of Examinations and Credit Accumulation (DECA) in?
1042,campus_location,Campus Location,Which campus area has Department of Examinations and Credit Accumulation (DECA)?
1043,campus_location,Campus Location,Where is Department of Admissions & Credit Evaluation (DACE)?
1044,campus_location,Campus Location,How do I get to Department of Admissions & Credit Evaluation (DACE)?
1045,campus_location,Campus Location,Which gate is closest to Department of Admissions & Credit Evaluation (DACE)?
1046,campus_location,Campus Location,Which building is Department of Admissions & Credit Evaluation (DACE) in?
1047,campus_location,Campus Location,Which campus area has Department of Admissions & Credit Evaluation (DACE)?
1048,campus_location,Campus Location,Where is Department of International Student Office (DISO)?
1049,campus_location,Campus Location,How do I get to Department of International Student Office (DISO)?
1050,campus_location,Campus Location,Which gate is closest to Department of International Student Office (DISO)?
1051,campus_location,Campus Location,Which building is Department of International Student Office (DISO) in?
1052,campus_location,Campus Location,Which campus area has Department of International Student Office (DISO)?
1053,campus_location,Campus Location,Where is Department of Finance (DFIN)?
1054,campus_location,Campus Location,How do I get to Department of Finance (DFIN)?
1055,campus_location,Campus Location,Which gate is closest to Department of Finance (DFIN)?
1056,campus_location,Campus Location,Which building is Department of Finance (DFIN) in?
1057,campus_location,Campus Location,Which campus area has Department of Finance (DFIN)?
1058,campus_location,Campus Location,Where is Department of Security (DOS)?
1059,campus_location,Campus Location,How do I get to Department of Security (DOS)?
1060,campus_location,Campus Location,Which gate is closest to Department of Security (DOS)?
1061,campus_location,Campus Location,Which building is Department of Security (DOS) in?
1062,campus_location,Campus Location,Which campus area has Department of Security (DOS)?
1063,campus_location,Campus Location,Where is Communication & Information Technology Centre (CITC)?
1064,campus_location,Campus Location,How do I get to Communication & Information Technology Centre (CITC)?
1065,campus_location,Campus Location,Which gate is closest to Communication & Information Technology Centre (CITC)?
1066,campus_location,Campus Location,Which building is Communication & Information Technology Centre (CITC) in?
1067,campus_location,Campus Location,Which campus area has Communication & Information Technology Centre (CITC)?
1068,campus_location,Campus Location,Where is Department of Facilities Management (DFM)?
1069,campus_location,Campus Location,How do I get to Department of Facilities Management (DFM)?
1070,campus_location,Campus Location,Which gate is closest to Department of Facilities Management (DFM)?
1071,campus_location,Campus Location,Which building is Department of Facilities Management (DFM) in?
1072,campus_location,Campus Location,Which campus area has Department of Facilities Management (DFM)?
1073,campus_location,Campus Location,Where is Campus Health Centre (Klinik LOW)?
1074,campus_location,Campus Location,How do I get to Campus Health Centre (Klinik LOW)?
1075,campus_location,Campus Location,Which gate is closest to Campus Health Centre (Klinik LOW)?
1076,campus_location,Campus Location,Which building is Campus Health Centre (Klinik LOW) in?
1077,campus_location,Campus Location,Which campus area has Campus Health Centre (Klinik LOW)?
1078,campus_location,Campus Location,Where is First Aid Unit (FAU)?
1079,campus_location,Campus Location,How do I get to First Aid Unit (FAU)?
1080,campus_location,Campus Location,Which gate is closest to First Aid Unit (FAU)?
1081,campus_location,Campus Location,Which building is First Aid Unit (FAU) in?
1082,campus_location,Campus Location,Which campus area has First Aid Unit (FAU)?
1083,campus_location,Campus Location,Where is Main Gate Guard House?
1084,campus_location,Campus Location,How do I get to Main Gate Guard House?
1085,campus_location,Campus Location,Which gate is closest to Main Gate Guard House?
1086,campus_location,Campus Location,Which building is Main Gate Guard House in?
1087,campus_location,Campus Location,Which campus area has Main Gate Guard House?
1088,campus_location,Campus Location,Where is East Campus Guard House?
1089,campus_location,Campus Location,How do I get to East Campus Guard House?
1090,campus_location,Campus Location,Which gate is closest to East Campus Guard House?
1091,campus_location,Campus Location,Which building is East Campus Guard House in?
1092,campus_location,Campus Location,Which campus area has East Campus Guard House?
1093,campus_location,Campus Location,Where is Sports Complex?
1094,campus_location,Campus Location,How do I get to Sports Complex?
1095,campus_location,Campus Location,Which gate is closest to Sports Complex?
1096,campus_location,Campus Location,Which building is Sports Complex in?
1097,campus_location,Campus Location,Which campus area has Sports Complex?
1098,campus_location,Campus Location,Where is Swimming Pool?
1099,campus_location,Campus Location,How do I get to Swimming Pool?
1100,campus_location,Campus Location,Which gate is closest to Swimming Pool?
1101,campus_location,Campus Location,Which building is Swimming Pool in?
1102,campus_location,Campus Location,Which campus area has Swimming Pool?
1103,campus_location,Campus Location,How do I get to Club House?
1104,campus_location,Campus Location,Which gate is closest to Club House?
1105,campus_location,Campus Location,Which building is Club House in?
1106,campus_location,Campus Location,Which campus area has Club House?
1107,campus_location,Campus Location,How do I get to TAR UMT Arena?
1108,campus_location,Campus Location,Which gate is closest to TAR UMT Arena?
1109,campus_location,Campus Location,Which building is TAR UMT Arena in?
1110,campus_location,Campus Location,Which campus area has TAR UMT Arena?
1111,campus_location,Campus Location,Where is Futsal / Netball Court?
1112,campus_location,Campus Location,How do I get to Futsal / Netball Court?
1113,campus_location,Campus Location,Which gate is closest to Futsal / Netball Court?
1114,campus_location,Campus Location,Which building is Futsal / Netball Court in?
1115,campus_location,Campus Location,Which campus area has Futsal / Netball Court?
1116,campus_location,Campus Location,Where is Pickleball Courts?
1117,campus_location,Campus Location,How do I get to Pickleball Courts?
1118,campus_location,Campus Location,Which gate is closest to Pickleball Courts?
1119,campus_location,Campus Location,Which building is Pickleball Courts in?
1120,campus_location,Campus Location,Which campus area has Pickleball Courts?
1121,campus_location,Campus Location,Where is Basketball Courts?
1122,campus_location,Campus Location,How do I get to Basketball Courts?
1123,campus_location,Campus Location,Which gate is closest to Basketball Courts?
1124,campus_location,Campus Location,Which building is Basketball Courts in?
1125,campus_location,Campus Location,Which campus area has Basketball Courts?
1126,campus_location,Campus Location,Where is Volleyball Courts?
1127,campus_location,Campus Location,How do I get to Volleyball Courts?
1128,campus_location,Campus Location,Which gate is closest to Volleyball Courts?
1129,campus_location,Campus Location,Which building is Volleyball Courts in?
1130,campus_location,Campus Location,Which campus area has Volleyball Courts?
1131,campus_location,Campus Location,Where is Dewan Tunku Abdul Rahman (DTAR)?
1132,campus_location,Campus Location,How do I get to Dewan Tunku Abdul Rahman (DTAR)?
1133,campus_location,Campus Location,Which gate is closest to Dewan Tunku Abdul Rahman (DTAR)?
1134,campus_location,Campus Location,Which building is Dewan Tunku Abdul Rahman (DTAR) in?
1135,campus_location,Campus Location,Which campus area has Dewan Tunku Abdul Rahman (DTAR)?
1136,campus_location,Campus Location,How do I get to VTAR Institute?
1137,campus_location,Campus Location,Which gate is closest to VTAR Institute?
1138,campus_location,Campus Location,Which building is VTAR Institute in?
1139,campus_location,Campus Location,Which campus area has VTAR Institute?
1140,campus_location,Campus Location,How do I get to Taska & Tadika Cece?
1141,campus_location,Campus Location,Which gate is closest to Taska & Tadika Cece?
1142,campus_location,Campus Location,Which building is Taska & Tadika Cece in?
1143,campus_location,Campus Location,Which campus area has Taska & Tadika Cece?
1144,campus_location,Campus Location,Where is Gate 1 (Main Entrance)?
1145,campus_location,Campus Location,How do I get to Gate 1 (Main Entrance)?
1146,campus_location,Campus Location,Which gate is closest to Gate 1 (Main Entrance)?
1147,campus_location,Campus Location,Which building is Gate 1 (Main Entrance) in?
1148,campus_location,Campus Location,Which campus area has Gate 1 (Main Entrance)?
1149,campus_location,Campus Location,How do I get to Gate 2?
1150,campus_location,Campus Location,Which gate is closest to Gate 2?
1151,campus_location,Campus Location,Which building is Gate 2 in?
1152,campus_location,Campus Location,Which campus area has Gate 2?
1153,campus_location,Campus Location,How do I get to Gate 3?
1154,campus_location,Campus Location,Which gate is closest to Gate 3?
1155,campus_location,Campus Location,Which building is Gate 3 in?
1156,campus_location,Campus Location,Which campus area has Gate 3?
1157,campus_location,Campus Location,How do I get to Gate 4?
1158,campus_location,Campus Location,Which gate is closest to Gate 4?
1159,campus_location,Campus Location,Which building is Gate 4 in?
1160,campus_location,Campus Location,Which campus area has Gate 4?
1161,campus_location,Campus Location,Where is Gate 5 (Hostel Gate)?
1162,campus_location,Campus Location,How do I get to Gate 5 (Hostel Gate)?
1163,campus_location,Campus Location,Which gate is closest to Gate 5 (Hostel Gate)?
1164,campus_location,Campus Location,Which building is Gate 5 (Hostel Gate) in?
1165,campus_location,Campus Location,Which campus area has Gate 5 (Hostel Gate)?
1166,campus_location,Campus Location,How do I get to Gate 6?
1167,campus_location,Campus Location,Which gate is closest to Gate 6?
1168,campus_location,Campus Location,Which building is Gate 6 in?
1169,campus_location,Campus Location,Which campus area has Gate 6?
1170,campus_location,Campus Location,How do I get to Gate 7?
1171,campus_location,Campus Location,Which gate is closest to Gate 7?
1172,campus_location,Campus Location,Which building is Gate 7 in?
1173,campus_location,Campus Location,Which campus area has Gate 7?
1174,campus_location,Campus Location,Where is LRT Taman Melati Station?
1175,campus_location,Campus Location,How do I get to LRT Taman Melati Station?
1176,campus_location,Campus Location,Which gate is closest to LRT Taman Melati Station?
1177,campus_location,Campus Location,Which building is LRT Taman Melati Station in?
1178,campus_location,Campus Location,Which campus area has LRT Taman Melati Station?
1179,campus_location,Campus Location,Where is Bus Stop (LRT Wangsa Maju)?
1180,campus_location,Campus Location,How do I get to Bus Stop (LRT Wangsa Maju)?
1181,campus_location,Campus Location,Which gate is closest to Bus Stop (LRT Wangsa Maju)?
1182,campus_location,Campus Location,Which building is Bus Stop (LRT Wangsa Maju) in?
1183,campus_location,Campus Location,Which campus area has Bus Stop (LRT Wangsa Maju)?
1184,campus_location,Campus Location,Where is Bus Stops 1-5?
1185,campus_location,Campus Location,How do I get to Bus Stops 1-5?
1186,campus_location,Campus Location,Which gate is closest to Bus Stops 1-5?
1187,campus_location,Campus Location,Which building is Bus Stops 1-5 in?
1188,campus_location,Campus Location,Which campus area has Bus Stops 1-5?
1189,campus_location,Campus Location,How do I enter campus through Gate 1 (Main Entrance)?
1190,campus_location,Campus Location,What is Gate 1 (Main Entrance) used for?
1191,campus_location,Campus Location,Which places are convenient from Gate 1 (Main Entrance)?
1192,campus_location,Campus Location,How do I enter campus through Gate 2?
1193,campus_location,Campus Location,What is Gate 2 used for?
1194,campus_location,Campus Location,Which places are convenient from Gate 2?
1195,campus_location,Campus Location,How do I enter campus through Gate 3?
